Time,PosX,PosY,PosZ,PredDx,PredDy,PredDz,UncertaintyX,UncertaintyY,UncertaintyZ,ActualDx,ActualDy,ActualDz, AdaptiveRSafe,CBFValue
37.7979,2.89145,-1.90599,1.48765,1.49147,0.0143767,8.99148,0.216076,0.216076,0.216076,-1.61722,-1.9837,9.82176,0.932151,17.9072
37.8979,2.83684,-1.9167,1.48493,1.4988,-0.0836596,9.03277,0.216003,0.216003,0.216003,-0.703754,-0.525029,10.9097,0.932006,17.5264
37.9979,2.78702,-1.92676,1.48214,1.5848,-0.170919,9.17734,0.21681,0.21681,0.21681,-0.228978,-2.25864,10.1466,0.933621,17.1822
38.0979,2.72525,-1.9389,1.47773,1.40198,-0.404004,9.29614,0.213985,0.213985,0.213985,-2.21239,0.736095,10.151,0.92797,16.7757
38.1978,2.67466,-1.94832,1.47477,0.744833,-0.420091,9.37574,0.220664,0.220664,0.220664,0.516378,2.15232,10.8792,0.941328,16.413
38.2978,2.61791,-1.95801,1.47339,0.744833,-0.174094,9.49647,0.216006,0.216006,0.216006,0.259542,0.33472,9.50884,0.932012,16.0544
38.3978,2.56122,-1.96682,1.47442,0.744833,0.0321665,9.49287,0.217695,0.217695,0.217695,-0.79889,0.429551,9.89349,0.93539,15.6757
38.4979,2.50494,-1.97514,1.47626,0.744833,0.188741,9.45259,0.2185,0.2185,0.2185,-0.488238,2.56449,9.06786,0.936999,15.3078
38.5979,2.44917,-1.98505,1.47746,0.584051,0.492792,9.32134,0.21854,0.21854,0.21854,0.94247,-2.14481,9.57972,0.937079,14.9591
38.6979,2.3939,-1.997,1.47906,0.584051,0.396083,9.20555,0.218244,0.218244,0.218244,-0.847793,-1.73793,9.995,0.936489,14.6296
38.7979,2.33923,-2.01057,1.48105,0.584051,0.105244,9.15893,0.218065,0.218065,0.218065,-0.376477,0.505116,10.2998,0.936131,14.3165
38.8979,2.29087,-2.02412,1.4827,0.584051,-0.0473526,9.19326,0.217955,0.217955,0.217955,0.661571,1.24013,9.76673,0.935909,14.0509
